1. URL: http://www.12377.cn/ | 状态: 成功 | 状态码: 200 | 耗时: 859.53ms | 错误: None
2. URL: http://fanyi.sogou.com/?fr=common_index_nav_pc | 状态: 成功 | 状态码: 200 | 耗时: 775.06ms | 错误: None
3. URL: http://zhihu.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 754.26ms | 错误: None
4. URL: http://pic.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 736.58ms | 错误: None
5. URL: https://fankui.sogou.com/index.php/web/web/index/type/4 | 状态: 成功 | 状态码: 200 | 耗时: 703.86ms | 错误: None
6. URL: https://beian.miit.gov.cn/ | 状态: 失败 | 状态码: 521 | 耗时: 740.94ms | 错误: None
7. URL: https://e.qq.com/?from=sougou01 | 状态: 成功 | 状态码: 200 | 耗时: 753.48ms | 错误: None
8. URL: http://ie.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 1537.32ms | 错误: None
9. URL: http://123.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 736.02ms | 错误: None
10. URL: https://v.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 717.99ms | 错误: None
11. URL: http://weixin.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 701.36ms | 错误: None
12. URL: https://map.qq.com/ | 状态: 成功 | 状态码: 200 | 耗时: 751.98ms | 错误: None
13. URL: http://hanyu.sogou.com/?fr=pcweb_index_nav | 状态: 成功 | 状态码: 200 | 耗时: 734.9ms | 错误: None
14. URL: http://www.sogou.com/docs/terms.htm?v=1 | 状态: 成功 | 状态码: 200 | 耗时: 22.33ms | 错误: None
15. URL: https://www.sogou.com/docs/privacy.htm?v=1 | 状态: 成功 | 状态码: 200 | 耗时: 683.14ms | 错误: None
16. URL: http://mingyi.sogou.com/?fr=common_index_nav | 状态: 成功 | 状态码: 200 | 耗时: 753.44ms | 错误: None
17. URL: http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=11000002000025 | 状态: 成功 | 状态码: 200 | 耗时: 971.5ms | 错误: None
18. URL: http://pinyin.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 42.54ms | 错误: None
19. URL: http://baike.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 784.61ms | 错误: None
20. URL: https://wenwen.sogou.com/?ch=websearch | 状态: 成功 | 状态码: 200 | 耗时: 810.76ms | 错误: None
