1. URL: http://mingyi.sogou.com?fr=common_index_nav | 状态: 成功 | 状态码: 200 | 耗时: 771.8ms | 错误: None
2. URL: http://baike.sogou.com | 状态: 成功 | 状态码: 200 | 耗时: 1024.99ms | 错误: None
3. URL: http://www.12377.cn | 状态: 成功 | 状态码: 200 | 耗时: 859.34ms | 错误: None
4. URL: https://fankui.sogou.com/index.php/web/web/index/type/4 | 状态: 成功 | 状态码: 200 | 耗时: 749.15ms | 错误: None
5. URL: http://www.sogou.com/docs/terms.htm?v=1 | 状态: 成功 | 状态码: 200 | 耗时: 16.65ms | 错误: None
6. URL: http://as.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 706.09ms | 错误: None
7. URL: https://v.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 703.71ms | 错误: None
8. URL: http://pic.sogou.com | 状态: 成功 | 状态码: 200 | 耗时: 703.71ms | 错误: None
9. URL: http://fanyi.sogou.com?fr=common_index_nav_pc | 状态: 成功 | 状态码: 200 | 耗时: 691.5ms | 错误: None
10. URL: https://www.sogou.com//e.qq.com?from=sougou01 | 状态: 失败 | 状态码: 404 | 耗时: 664.93ms | 错误: None
11. URL: https://wenwen.sogou.com/?ch=websearch | 状态: 成功 | 状态码: 200 | 耗时: 776.06ms | 错误: None
12. URL: http://hanyu.sogou.com?fr=pcweb_index_nav | 状态: 成功 | 状态码: 200 | 耗时: 712.02ms | 错误: None
13. URL: http://123.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 732.37ms | 错误: None
14. URL: http://zhishi.sogou.com | 状态: 成功 | 状态码: 200 | 耗时: 680.73ms | 错误: None
15. URL: http://ie.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 1489.01ms | 错误: None
16. URL: http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=11000002000025 | 状态: 成功 | 状态码: 200 | 耗时: 948.29ms | 错误: None
17. URL: http://pinyin.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 27.86ms | 错误: None
18. URL: https://beian.miit.gov.cn/ | 状态: 失败 | 状态码: 521 | 耗时: 723.99ms | 错误: None
19. URL: http://weixin.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 684.63ms | 错误: None
20. URL: https://map.qq.com/ | 状态: 成功 | 状态码: 200 | 耗时: 701.8ms | 错误: None
21. URL: https://www.sogou.com/docs/privacy.htm?v=1 | 状态: 成功 | 状态码: 200 | 耗时: 671.67ms | 错误: None
22. URL: http://www.sogou.com/docs/more.htm?v=1 | 状态: 成功 | 状态码: 200 | 耗时: 18.21ms | 错误: None
23. URL: http://zhihu.sogou.com/ | 状态: 成功 | 状态码: 200 | 耗时: 754.61ms | 错误: None
